pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
-0.029177, -0.008703, 0.016380,-0.029177, -0.008703, 0.016380,-0.026116, 0.238849, 0.009222,-0.023055, 0.486401, 0.002064,-0.021838, 0.666772, 0.001819,-0.025371, 0.652727, 0.029770,-0.023055, 0.486401, 0.002064,0.123116, 0.490934, -0.015466,0.110852, 0.355739, 0.197279,-0.108373, 0.381597, 0.156876,-0.023055, 0.486401, 0.002064,-0.169230, 0.482006, 0.019590,-0.195752, 0.321946, 0.179290,0.023104, 0.335459, 0.177567,-0.029177, -0.008703, 0.016380,0.072277, -0.008683, 0.010948,-0.029177, -0.008703, 0.016380,-0.130631, -0.008723, 0.021812,0.072277, -0.008703, 0.010948,0.079270, -0.351431, -0.012180,0.086397, -0.625740, -0.044179,0.118220, -0.679254, 0.097006,-0.130631, -0.008703, 0.021812,-0.114426, -0.348283, -0.017609,-0.085124, -0.624623, -0.055504,-0.129357, -0.677863, 0.091339
-0.029499, -0.008005, 0.016251,-0.029499, -0.008005, 0.016251,-0.026347, 0.239555, 0.009428,-0.023195, 0.487115, 0.002606,-0.021484, 0.667481, 0.001711,-0.024616, 0.653406, 0.029695,-0.023195, 0.487115, 0.002606,0.123205, 0.490490, -0.013183,0.107382, 0.356653, 0.200185,-0.108750, 0.382638, 0.145663,-0.023195, 0.487115, 0.002606,-0.169599, 0.483879, 0.018392,-0.188318, 0.326107, 0.181439,0.030601, 0.337208, 0.175566,-0.029499, -0.008005, 0.016251,0.072070, -0.007114, 0.013932,-0.029499, -0.008005, 0.016251,-0.131068, -0.008896, 0.018570,0.072074, -0.008005, 0.013932,0.080173, -0.350590, -0.010893,0.088102, -0.624767, -0.043815,0.118902, -0.678687, 0.097442,-0.131072, -0.008005, 0.018570,-0.114506, -0.347951, -0.017394,-0.085725, -0.624231, -0.056117,-0.127811, -0.676050, 0.091861
-0.029845, -0.007530, 0.016066,-0.029845, -0.007530, 0.016066,-0.026502, 0.240038, 0.009632,-0.023159, 0.487606, 0.003199,-0.020950, 0.667960, 0.001487,-0.023840, 0.653873, 0.029491,-0.023159, 0.487606, 0.003199,0.123364, 0.489862, -0.011624,0.105484, 0.355698, 0.201375,-0.108847, 0.379875, 0.139423,-0.023159, 0.487606, 0.003199,-0.169684, 0.485489, 0.018018,-0.184440, 0.328065, 0.181807,0.034550, 0.337583, 0.175804,-0.029845, -0.007530, 0.016066,0.071742, -0.006060, 0.015571,-0.029845, -0.007530, 0.016066,-0.131432, -0.009000, 0.016561,0.071753, -0.007530, 0.015571,0.080512, -0.350037, -0.010099,0.089057, -0.624131, -0.043557,0.119189, -0.678371, 0.097722,-0.131443, -0.007530, 0.016561,-0.114322, -0.347671, -0.017237,-0.085907, -0.623900, -0.056586,-0.126546, -0.674905, 0.092078
-0.030193, -0.007406, 0.015837,-0.030193, -0.007406, 0.015837,-0.026568, 0.240167, 0.009765,-0.022944, 0.487741, 0.003693,-0.020195, 0.668077, 0.001103,-0.022979, 0.653994, 0.029120,-0.022944, 0.487741, 0.003693,0.123622, 0.489037, -0.010812,0.105110, 0.353579, 0.201313,-0.109122, 0.375025, 0.138024,-0.022944, 0.487741, 0.003693,-0.169512, 0.486583, 0.018195,-0.184096, 0.327429, 0.180319,0.034960, 0.336941, 0.177550,-0.030193, -0.007406, 0.015837,0.071392, -0.005723, 0.015880,-0.030193, -0.007406, 0.015837,-0.131778, -0.009089, 0.015794,0.071406, -0.007406, 0.015880,0.080365, -0.349902, -0.009862,0.089355, -0.623965, -0.043457,0.119168, -0.678402, 0.097813,-0.131792, -0.007406, 0.015794,-0.114055, -0.347594, -0.017201,-0.085785, -0.623793, -0.056867,-0.125792, -0.674631, 0.092025
-0.030511, -0.007553, 0.015621,-0.030511, -0.007553, 0.015621,-0.026592, 0.240022, 0.009784,-0.022673, 0.487596, 0.003947,-0.019343, 0.667910, 0.000640,-0.022035, 0.653840, 0.028672,-0.022673, 0.487596, 0.003947,0.123926, 0.488129, -0.010269,0.105115, 0.352162, 0.201503,-0.109138, 0.372087, 0.137789,-0.022673, 0.487596, 0.003947,-0.169273, 0.487201, 0.018160,-0.185071, 0.325738, 0.177868,0.033957, 0.336202, 0.178264,-0.030511, -0.007553, 0.015621,0.071074, -0.005871, 0.015846,-0.030511, -0.007553, 0.015621,-0.132096, -0.009235, 0.015396,0.071088, -0.007553, 0.015846,0.080084, -0.350051, -0.009857,0.089464, -0.624103, -0.043435,0.119068, -0.678615, 0.097851,-0.132110, -0.007553, 0.015396,-0.113954, -0.347745, -0.017330,-0.085651, -0.623936, -0.057028,-0.125448, -0.674837, 0.091898
-0.030806, -0.007722, 0.015448,-0.030806, -0.007722, 0.015448,-0.026621, 0.239852, 0.009757,-0.022436, 0.487425, 0.004066,-0.018559, 0.667719, 0.000261,-0.021124, 0.653662, 0.028312,-0.022436, 0.487425, 0.004066,0.124201, 0.487336, -0.009771,0.104333, 0.352010, 0.202316,-0.109137, 0.371974, 0.136037,-0.022436, 0.487425, 0.004066,-0.169073, 0.487652, 0.017900,-0.185805, 0.324353, 0.175635,0.033176, 0.335548, 0.177942,-0.030806, -0.007722, 0.015448,0.070778, -0.006070, 0.016088,-0.030806, -0.007722, 0.015448,-0.132390, -0.009374, 0.014808,0.070791, -0.007722, 0.016088,0.079897, -0.350200, -0.009846,0.089656, -0.624240, -0.043408,0.119029, -0.678738, 0.097932,-0.132403, -0.007722, 0.014808,-0.114056, -0.347938, -0.017556,-0.085657, -0.624138, -0.057125,-0.125240, -0.674960, 0.091885
-0.031103, -0.007735, 0.015283,-0.031103, -0.007735, 0.015283,-0.026665, 0.239838, 0.009765,-0.022227, 0.487411, 0.004247,-0.017924, 0.667686, 0.000053,-0.020368, 0.653644, 0.028121,-0.022227, 0.487411, 0.004247,0.124430, 0.486798, -0.009355,0.102563, 0.352212, 0.203005,-0.109614, 0.372375, 0.132755,-0.022227, 0.487411, 0.004247,-0.168884, 0.488163, 0.017847,-0.185924, 0.323555, 0.174182,0.033022, 0.335086, 0.177742,-0.031103, -0.007735, 0.015283,0.070475, -0.006077, 0.016489,-0.031103, -0.007735, 0.015283,-0.132681, -0.009393, 0.014077,0.070489, -0.007735, 0.016490,0.079809, -0.350181, -0.009788,0.089913, -0.624210, -0.043340,0.119050, -0.678674, 0.098061,-0.132695, -0.007735, 0.014076,-0.114219, -0.347995, -0.017752,-0.085766, -0.624208, -0.057185,-0.124989, -0.674751, 0.092016
-0.031412, -0.007636, 0.015074,-0.031412, -0.007636, 0.015074,-0.026716, 0.239938, 0.009798,-0.022019, 0.487511, 0.004523,-0.017422, 0.667771, -0.000025,-0.019791, 0.653749, 0.028060,-0.022019, 0.487511, 0.004523,0.124645, 0.486481, -0.008978,0.100578, 0.351870, 0.203128,-0.110612, 0.371272, 0.129760,-0.022019, 0.487511, 0.004523,-0.168683, 0.488680, 0.018021,-0.185712, 0.322908, 0.173122,0.033177, 0.334948, 0.178225,-0.031412, -0.007636, 0.015074,0.070159, -0.005971, 0.016772,-0.031412, -0.007636, 0.015074,-0.132983, -0.009301, 0.013376,0.070173, -0.007636, 0.016773,0.079747, -0.350059, -0.009708,0.090163, -0.624080, -0.043231,0.119079, -0.678573, 0.098204,-0.132997, -0.007636, 0.013375,-0.114341, -0.347940, -0.017863,-0.085884, -0.624164, -0.057227,-0.124707, -0.674382, 0.092188
-0.031715, -0.007584, 0.014837,-0.031715, -0.007584, 0.014837,-0.026766, 0.239990, 0.009809,-0.021816, 0.487564, 0.004781,-0.017031, 0.667811, -0.000045,-0.019359, 0.653821, 0.028060,-0.021816, 0.487564, 0.004781,0.124860, 0.486240, -0.008563,0.099389, 0.350639, 0.202747,-0.111839, 0.368477, 0.129091,-0.021816, 0.487564, 0.004781,-0.168492, 0.489025, 0.018122,-0.186188, 0.321639, 0.171405,0.032562, 0.334218, 0.179967,-0.031715, -0.007584, 0.014837,0.069850, -0.005937, 0.016900,-0.031715, -0.007584, 0.014837,-0.133280, -0.009231, 0.012774,0.069863, -0.007584, 0.016900,0.079666, -0.349996, -0.009640,0.090365, -0.624014, -0.043104,0.119082, -0.678607, 0.098334,-0.133293, -0.007584, 0.012774,-0.114426, -0.347926, -0.017928,-0.085916, -0.624151, -0.057239,-0.124495, -0.674180, 0.092303
-0.031967, -0.007600, 0.014662,-0.031967, -0.007600, 0.014662,-0.026802, 0.239973, 0.009804,-0.021638, 0.487546, 0.004945,-0.016739, 0.667786, -0.000030,-0.019033, 0.653837, 0.028098,-0.021638, 0.487546, 0.004945,0.125050, 0.486058, -0.008258,0.099590, 0.348411, 0.201726,-0.112969, 0.364602, 0.131602,-0.021638, 0.487546, 0.004945,-0.168324, 0.489171, 0.018146,-0.187877, 0.319702, 0.168893,0.030605, 0.332128, 0.182845,-0.031967, -0.007600, 0.014662,0.069592, -0.005963, 0.016978,-0.031967, -0.007600, 0.014662,-0.133526, -0.009237, 0.012346,0.069606, -0.007600, 0.016978,0.079577, -0.350003, -0.009617,0.090474, -0.624025, -0.042977,0.119053, -0.678722, 0.098448,-0.133540, -0.007600, 0.012346,-0.114471, -0.347964, -0.017983,-0.085807, -0.624189, -0.057184,-0.124404, -0.674229, 0.092349
